Temperature,Humidity,Wind Speed,Pressure,PM2.5,PM10,NO2,SO2,CO,O3,AQI
27.48,54.43,6.85,1011.16,85.69,218.35,26.58,13.76,2.93,167.05,115.8
24.31,33.96,8.09,1001.7,38.87,123.69,5.39,6.81,3.95,118.03,68.42
28.24,50.93,9.36,1015.73,102.76,272.43,37.58,40.76,4.01,28.0,182.05
32.62,36.66,0.69,992.25,245.08,172.4,97.04,8.49,1.43,162.2,185.67
23.83,78.49,1.96,1012.08,60.34,140.61,71.02,30.58,2.74,144.72,76.48
23.83,86.86,8.92,1013.16,154.98,197.54,43.13,18.45,4.81,137.65,167.92
32.9,34.34,4.86,1020.95,111.08,286.31,23.29,12.85,0.63,16.24,144.47
28.84,87.31,5.86,1022.74,22.4,240.42,38.83,32.69,3.48,145.82,80.97
22.65,61.35,6.8,1007.96,124.53,21.6,21.13,23.94,4.82,33.45,120.65
27.71,47.97,6.95,1011.49,177.03,106.37,15.1,21.21,1.64,47.81,123.59
22.68,34.61,9.35,1005.34,130.74,146.46,91.14,30.46,4.33,108.11,129.44
22.67,60.04,9.97,1001.72,218.67,101.21,99.78,25.58,4.68,55.05,168.5
26.21,77.67,7.34,1016.1,75.79,213.05,20.59,16.57,3.79,122.43,144.46
15.43,72.43,3.23,1000.26,26.13,249.62,10.18,28.83,1.31,113.37,71.41
16.38,33.01,8.86,1008.85,234.46,222.09,36.32,34.14,1.8,28.39,199.31
22.19,34.37,0.97,1003.05,97.66,296.91,48.86,3.28,0.37,121.52,177.81
19.94,54.17,2.7,1018.5,146.22,89.04,24.46,24.36,4.19,167.07,121.33
26.57,47.72,9.03,1031.01,199.04,263.75,33.64,4.77,4.28,37.39,177.3
20.46,43.94,2.93,999.98,84.46,232.32,24.08,10.95,3.24,111.5,117.55
17.94,46.86,2.6,994.47,180.46,115.03,78.55,28.9,1.89,68.12,144.18
32.33,78.21,1.81,1011.75,38.18,222.9,72.69,43.58,0.57,88.13,118.84
23.87,85.75,8.66,1013.16,76.37,40.18,65.32,44.37,3.81,58.79,66.52
25.34,54.31,5.25,1015.19,40.45,238.91,41.79,5.36,3.69,70.2,121.21
